# High-density portrait coordinates (removes banding)
# Format: x y
# Total points: 168216
# Sorted top-to-bottom
#
0.178538 1.048771
0.189767 1.048771
0.200996 1.048771
0.212225 1.048771
0.223453 1.048771
0.234682 1.048771
0.245911 1.048771
0.257140 1.048771
0.268369 1.048771
0.279597 1.048771
0.290826 1.048771
0.302055 1.048771
0.313284 1.048771
0.324513 1.048771
0.335742 1.048771
0.346970 1.048771
0.358199 1.048771
0.369428 1.048771
0.380657 1.048771
0.391886 1.048771
0.403114 1.048771
0.414343 1.048771
0.425572 1.048771
0.436801 1.048771
0.448030 1.048771
0.459258 1.048771
0.470487 1.048771
0.481716 1.048771
0.492945 1.048771
0.504174 1.048771
0.515403 1.048771
0.526631 1.048771
0.537860 1.048771
0.549089 1.048771
0.560318 1.048771
0.571547 1.048771
0.582775 1.048771
0.594004 1.048771
0.605233 1.048771
0.616462 1.048771
0.627691 1.048771
0.638919 1.048771
0.650148 1.048771
0.661377 1.048771
0.672606 1.048771
0.683835 1.048771
0.695064 1.048771
0.706292 1.048771
0.717521 1.048771
0.728750 1.048771
0.739979 1.048771
0.751208 1.048771
0.762436 1.048771
0.773665 1.048771
0.784894 1.048771
0.796123 1.048771
0.807352 1.048771
0.818581 1.048771
0.829809 1.048771
0.841038 1.048771
0.852267 1.048771
0.863496 1.048771
0.874725 1.048771
0.885953 1.048771
0.897182 1.048771
0.908411 1.048771
0.919640 1.048771
0.930869 1.048771
0.942097 1.048771
0.953326 1.048771
0.964555 1.048771
0.975784 1.048771
0.987013 1.048771
0.998242 1.048771
-0.991504 1.046525
-0.980275 1.046525
-0.969047 1.046525
-0.957818 1.046525
-0.946589 1.046525
-0.935360 1.046525
-0.924131 1.046525
-0.912903 1.046525
-0.901674 1.046525
-0.890445 1.046525
-0.879216 1.046525
-0.867987 1.046525
-0.856758 1.046525
-0.845530 1.046525
-0.834301 1.046525
-0.823072 1.046525
-0.811843 1.046525
-0.800614 1.046525
-0.789386 1.046525
-0.778157 1.046525
-0.766928 1.046525
-0.755699 1.046525
-0.744470 1.046525
-0.733242 1.046525
-0.722013 1.046525
-0.710784 1.046525
-0.699555 1.046525
-0.688326 1.046525
-0.677097 1.046525
-0.665869 1.046525
-0.654640 1.046525
-0.643411 1.046525
-0.632182 1.046525
-0.620953 1.046525
-0.609725 1.046525
-0.598496 1.046525
-0.587267 1.046525
-0.576038 1.046525
-0.564809 1.046525
-0.553581 1.046525
-0.542352 1.046525
-0.531123 1.046525
-0.519894 1.046525
-0.508665 1.046525
-0.497436 1.046525
-0.486208 1.046525
-0.474979 1.046525
-0.463750 1.046525
-0.452521 1.046525
-0.441292 1.046525
-0.430064 1.046525
-0.418835 1.046525
-0.407606 1.046525
-0.396377 1.046525
-0.385148 1.046525
-0.373919 1.046525
-0.362691 1.046525
-0.351462 1.046525
-0.340233 1.046525
-0.329004 1.046525
-0.317775 1.046525
-0.306547 1.046525
-0.295318 1.046525
-0.284089 1.046525
-0.272860 1.046525
-0.261631 1.046525
-0.250403 1.046525
-0.239174 1.046525
-0.227945 1.046525
-0.216716 1.046525
-0.205487 1.046525
-0.194258 1.046525
-0.183030 1.046525
-0.171801 1.046525
-0.160572 1.046525
-0.149343 1.046525
-0.138114 1.046525
-0.126886 1.046525
-0.115657 1.046525
-0.104428 1.046525
-0.093199 1.046525
-0.081970 1.046525
-0.070742 1.046525
-0.059513 1.046525
-0.048284 1.046525
-0.037055 1.046525
-0.025826 1.046525
-0.014597 1.046525
-0.003369 1.046525
0.007860 1.046525
0.019089 1.046525
0.030318 1.046525
0.041547 1.046525
0.052775 1.046525
0.064004 1.046525
0.075233 1.046525
0.086462 1.046525
0.097691 1.046525
0.108919 1.046525
0.120148 1.046525
0.131377 1.046525
0.142606 1.046525
0.153835 1.046525
0.165064 1.046525
0.176292 1.046525
0.187521 1.046525
0.198750 1.046525
0.209979 1.046525
0.221208 1.046525
0.232436 1.046525
0.243665 1.046525
0.254894 1.046525
0.266123 1.046525
0.277352 1.046525
