# Ultra-dense + color (420544 points)
# Format: x y r g b
#
0.346970 1.060000 0.0000 0.0000 0.0000
0.351462 1.060000 0.0000 0.0000 0.0000
0.355953 1.060000 0.0000 0.0000 0.0000
0.360445 1.060000 0.0000 0.0000 0.0000
0.364936 1.060000 0.0000 0.0000 0.0000
0.369428 1.060000 0.0000 0.0000 0.0000
0.373919 1.060000 0.0000 0.0000 0.0000
0.378411 1.060000 0.0000 0.0000 0.0000
0.382903 1.060000 0.0000 0.0000 0.0000
0.387394 1.060000 0.0000 0.0000 0.0000
0.391886 1.060000 0.0000 0.0000 0.0000
0.396377 1.060000 0.0000 0.0000 0.0000
0.400869 1.060000 0.0000 0.0000 0.0000
0.405360 1.060000 0.0000 0.0000 0.0000
0.409852 1.060000 0.0000 0.0000 0.0000
0.414343 1.060000 0.0000 0.0000 0.0000
0.418835 1.060000 0.0000 0.0000 0.0000
0.423326 1.060000 0.0000 0.0000 0.0000
0.427818 1.060000 0.0000 0.0000 0.0000
0.432309 1.060000 0.0000 0.0000 0.0000
0.436801 1.060000 0.0000 0.0000 0.0000
0.441292 1.060000 0.0000 0.0000 0.0000
0.445784 1.060000 0.0000 0.0000 0.0000
0.450275 1.060000 0.0000 0.0000 0.0000
0.454767 1.060000 0.0000 0.0000 0.0000
0.459258 1.060000 0.0000 0.0000 0.0000
0.463750 1.060000 0.0000 0.0000 0.0000
0.468242 1.060000 0.0000 0.0000 0.0000
0.472733 1.060000 0.0000 0.0000 0.0000
0.477225 1.060000 0.0000 0.0000 0.0000
0.481716 1.060000 0.0000 0.0000 0.0000
0.486208 1.060000 0.0000 0.0000 0.0000
0.490699 1.060000 0.0000 0.0000 0.0000
0.495191 1.060000 0.0000 0.0000 0.0000
